id	cargahorariapratica	cargahorariateorica	ementa	nome	curso_id	bibliografiabasica	bibliografiacomplementar	objetivogeral
1	0	64	Medidas de complexidade, análise assintótica de limites de complexidade, técnicas de prova de cotas inferiores. Exemplos de análise de algoritmos iterativos e recursivos. Técnicas de projeto de algoritmos eficientes. Programação dinâmica. Algoritmos probabilísticos.	ANÁLISE E PROJETO DE ALGORITMOS	1	LEISERSON, Charles, E. RIVEST, Ronald L. CORMEN, Thomas H. Algoritmos - Teoria e Prática, Campus, 2001.	BAASE, Sara. GELDER, Allen Van .Computer Algorithms: Introduction to Design and Analysis. (3rd Edition) - SZWARCFITER, Jayme Luiz & MARKENZON, Lilian. “Estrutura de Dados e seus Algoritmos”. LTC Editora. 1994. 2a Edição - MAMBER, Udi. “Introduction to Algorithms”. Addison Wesley Publishing Company. 1989.	A DEFINIR
2	16	48	Entendimento dos mecanismos representação de dados; introdução à Programação em linguagem de máquina e linguagem de montagem; compreensão de instruções, Conjunto de instruções e modos de endereçamento; Compreensão dos mecanismos de controle de fluxo, pilha e subrotina; Apresentação aos mecanismos de interrupção; Comparação entre os diversos métodos de transferência de dados e dispositivos de E/S; Estudo do suporte de hardware para o desenvolvimento de software.	ARQUITETURA DE COMPUTADORES	1	HENNESSY, J.L. and PATTERSON, D.A. Computer Architecture: A Quantitative Approach, 2nd. Edition, 1996, Morgan Kaufmann. - PATTERSON, D.A and HENNESSY, J.L. Computer Organization and Design-The hardware software interface , 3nd. Edition, 2005, Morgan Kaufmann. - TANENBAUM, A.. Structured Computer Organization, 4th . Edition, 1999, Prentice-Hall.	CARPINELLI, J. Computer Systems Organization & Architecture, Addison-Wesley, 2001. - STALLINGS, W. Computer Organization and Architecture: Designing for Performance, 4th Edition, 1996, Prentice-Hall.	A DEFINIR
3	16	48	Conceitos fundamentais para o projeto, utilização e implementação de banco de dados. O Modelo Relacional: conceitos, restrições de integridade, introdução a álgebra relacional, cálculo relacional, SQL, normalização e dependências funcionais. Projeto de banco de dados: modelagem de dados usando o Modelo E/R; mapeamento ER-relacional; uso de normalização no projeto de BD.	BANCO DE DADOS	1	SILBERSCHATZ, A., KORTH, H.F. and SUDARSHAN, S., Sistema de Banco de Dados, Ed. Campus, Rio de Janeiro, 2006.	HEUSER, C.A., Projeto de Banco de Dados, 5a edição, Ed. Sagra Luzzatto, Porto Alegre, 2004. - ELMASRI, R. e NAVATHE, S.B., Sistemas de Banco de Dados, 4a Edição, Pearson/Addison Wesley, São Paulo, 2005. - TEOREY, T., LIGHTSTONE, S. and NADEAU, T., Projeto e Modelagem de Bancos de Dados, Ed. Campus, Rio de Janeiro, 2007. - SETZER, V. W. e SILVA, F. S. C., Bancos de Dados, Ed. Edgard Blucher, São Paulo, 2005. - KORTH, H.F. and SILBERSCHATZ, A., Database System Concepts, Ed. MCGRAW-HILL Profissional, 2005. - ELMASRI, R. and NAVATHE, S.B., Fundamentals of Database Systems, 5th ed., Addison Wesley Higher Education, 2006. - KHOSHAFIAN, S., Banco de Dados Orientado a Objetos, IBPI Press, 1994. - DATE, C. J., Introdução a Sistemas de Banco de Dados, tradução da 8o edição americana, Ed. Campus, Rio de Janeiro, 2004. - DATE, C. J., Introduction to Database Systems, Eighth Edition. Addison-Wesley Publishing, 2003. - WELLING, L. and THOMSON, L., Tutorial MySQL, Ed. Ciência Moderna, 2004.	A DEFINIR
4	32	32	A estrutura de um compilador; Análises léxica e sintática e semântica. Organização da tabela de símbolos. Gerenciamento de erros; Síntese de programas-objeto.	COMPILADORES	1			A DEFINIR
5	32	32	Dispositivos gráficos de entrada e saída. Processadores de exibição gráfica. Teoria de cor. Transformações geométricas bidimensionais e tridimensionais. Transformações entre sistemas de coordenadas bidimensionais. Transformações de projeção paralela e perceptiva. Câmera virtual. Transformações entre sistemas de coordenadas tridimensionais. Rasterização bidimensional. Recorte e seleção bidimensional. Visualização tridimensional: iluminação, eliminação de linhas superfícies escondidas, modelos de tonalização (“shading”). Aplicação de texturas. O problema do serrilhado (aliasing). Percepção visual humana, amostragem, realce, filtragem, restauração de imagem, segmentação de imagem, compressão e comunicação de imagens. Noção de visão computacional e reconhecimento de padrões.	COMPUTAÇÃO GRÁFICA	1			A DEFINIR
6	0	32	Estudo e análise de situações atuais envolvendo o uso de computadores e como estes afetam a sociedade. Situações específicas: conceito de ética e critérios para tomada de decisões éticas, acesso não autorizado, propriedade intelectual, erros e ameaças à segurança, saúde ocupacional, privacidade e uso de dados pessoais, regulamentação da profissão, inclusão digital, entre outros. Códigos de ética profissional. Estudos de casos	COMPUTADOR E SOCIEDADE	1	Masiero, P Ética em Computação, Editora da USP, 1999	Masiero, P Ética em Computação, Editora da USP, 1999	A DEFINIR
7	32	32	O papel do empreendedor no processo de criação de novas empresas. Etapas do Processo de Criação de Empresas: a pesquisa de oportunidades, estudo de tendências de mercado. O projeto de criação e início de atividades da nova empresa. Problemas de gestão de micro e pequenas empresas nascentes. Entidades de apoio a pequena e média empresa. Estruturas de cooperação entre empresas	EMPREENDEDORISMO	1	DEGEN, Ronald. O Empreendedor - Fundamentos da Iniciativa Empresarial. Ed. McGraw-Hill, São Paulo, 1989	RESNIK, Paul. A Bíblia da Pequena Empresa. Makron Books Editora, São Paulo, 1988.	A DEFINIR
8	48	16	Definição de requisitos, quando são produzidos, quais as relações com outros artefatos, desafios e propostas correntes. Os processos relacionados a requisitos: eliciação, análise, especificação (registro) e avaliação (validação) de requisitos. Classificação de requisitos (requisitos de sistema e de software; requisitos funcionais e não-funcionais). Qualidade de requisitos (objetividade, clareza, viabilidade técnica, verificabilidade). Normas e padrões pertinentes. Considerações práticas: aplicação de métodos e técnicas; a natureza iterativa dos processos de requisitos; gerência de mudanças; medição e rastreabilidade de requisitos.	ENGENHARIA DE REQUISITOS	1	SOMMERVILLE, Ian. Software Engineering. 8th edition. Addison-Wesley, 2006	IEEE. Std 830 – Recommended Practice for Software Requirements Specifications, 1998. - IEEE. Std 1362 – Guide for Information Technology – System Definition – Concept of Operations (ConOps) Document, 1998. - IEEE. Guide to the Software Engineering Body of Knowledge. Cap. 2 – Software Requirements, 2004.	A DEFINIR
9	48	16	Visão geral da engenharia de software, suas subáreas, objetivos, desafios e propostas correntes. Dificuldades essenciais e acidentais da Engenharia de Software. Caracterização de software (produto). Processos do Ciclo de Vida do software. Gerência de projetos de software. Garantia da Qualidade de software. Gerência de configuração de software. Paradigmas de Desenvolvimento e Manutenção de software. Teste de software. Ferramentas de apoio à Engenharia de Software (CASE). Considerações práticas: métodos e técnicas para Engenharia de Software.	ENGENHARIA DE SOFTWARE	1	SOMMERVILLE, Ian. Software Engineering. 8th edition. Addison-Wesley, 2006	ABNT/ISO/IEC. Norma 12207 - Tecnologia de informação – Processos de ciclo de vida de software, 1998. - IEEE. Guide to the Software Engineering Body of Knowledge, 2004.	A DEFINIR
10	16	48	Tipos abstratos de Dados. Listas: tipos de listas, operações, implementação. Pilhas e filas: tipos, estruturas, aplicações, implementação. Matriz. Árvores: tipos, aplicações, operações e implementação	ESTRUTURAS DE DADOS I	1	MORAES, Celso Roberto. Estruturas de Dados e Algoritmos – Uma abordagem didática. Editora Berkeley.2001	GOODRICH M. T. et al., Data Structures and Algorithms in Java, John Wiley & Sons, 1998.  - LEISERSON, Charles, E. RIVEST, Ronald L. CORMEN, Thomas H. Algoritmos - Teoria e Prática, Campus, 2001. - Ziviani N., Projeto de Algoritmos com Implementações em Pascal e C, Livraria Pioneira Editora, São Paulo, 1993. - TENNENBAUM, A.M. e AUGENSTEIN,M.J., Data Structures Using C, Prentice Hall Inc., xxxx - Knuth D. E., The Art of Computer Programming, vol. 1 a 3, Addison-Wesley, 1997 - AHO A V, HOPCROFT J. E., and ULLMAN, J. D., Data Structures and Algorithms, Addison-Wesley, 1987,	A DEFINIR
